,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Target
419,0.161,0.121,-0.995,-0.545,-1.338,0.645,-0.699,-0.654,0.419,0.056,0.810,-0.633,-1.149,-1.002,-0.134,0.042,0.601,0.084,0.632,0.437,-0.196,-0.067,-0.901,0.421,-0.282,-1.670,1.332,1.886,-0.827,0.165,0.422,-1.471,-1.429,0.000,0.510,1.332,-1.321,-1.251,0.313,0.234,-0.461,1.880,-0.639,0.156,-0.555,0.419,1.397,1.671,0.302,1.303,0.032
420,0.248,-0.014,0.548,1.400,1.811,-0.342,1.239,-0.640,0.077,-0.345,0.302,-0.668,1.495,1.291,0.455,0.473,1.145,-0.288,0.209,-0.689,0.563,0.453,-1.741,-1.233,0.358,-1.223,-0.456,0.296,1.668,0.165,0.848,-0.742,-1.150,0.816,0.314,0.352,-1.316,-0.148,-0.953,0.234,0.733,0.028,-0.703,0.416,-0.257,0.949,0.933,-0.289,0.687,0.949,0.528
421,0.913,0.921,1.215,-0.461,-0.193,0.771,-0.313,0.578,0.861,0.824,0.832,-0.242,-0.035,0.130,1.023,-1.252,1.016,0.095,1.582,0.827,-1.204,1.376,-0.669,-0.813,0.256,-0.783,0.072,1.507,1.052,-0.366,0.984,0.158,-0.724,-0.016,0.510,0.331,-1.314,-0.594,-1.190,0.438,-1.788,1.622,0.433,1.414,-0.468,0.820,-0.009,0.364,0.745,-0.143,1.208
422,0.699,0.619,0.601,1.144,0.067,0.474,2.502,1.546,1.171,0.501,0.618,-0.419,0.562,0.452,0.686,0.042,0.551,-0.656,0.609,0.960,-0.629,0.301,-0.722,-0.678,0.006,0.087,0.653,0.598,0.749,0.961,-0.561,0.146,0.488,0.605,1.445,0.332,1.688,-0.152,1.488,0.367,-0.462,0.711,-0.236,0.912,-0.513,-0.843,0.160,0.364,0.445,-0.362,0.555
423,-0.990,0.368,0.255,-1.512,-1.069,1.439,-0.549,0.264,-1.757,3.349,-1.381,-0.394,0.633,0.445,0.318,0.904,-0.347,-0.608,-1.317,0.993,-0.756,-1.634,1.312,1.842,-1.935,0.832,-0.114,-1.478,0.613,0.696,-0.345,1.040,-0.194,-0.666,1.068,0.307,1.469,1.494,0.127,0.308,0.398,-1.480,-0.292,0.232,0.041,-0.761,0.385,0.364,-0.205,0.116,-0.979
424,0.731,0.492,0.840,1.407,-0.476,1.235,0.934,2.043,0.796,0.510,0.983,-0.523,0.421,-0.173,0.512,-0.821,0.117,-0.098,0.833,0.387,-0.167,-1.127,-0.263,0.853,-0.770,0.395,-1.083,1.750,0.442,-1.162,0.978,-1.752,-0.080,-0.060,-0.817,-0.192,-1.318,-0.285,0.295,0.412,-0.455,1.323,-0.558,0.546,-0.655,1.394,0.835,-0.349,0.133,-0.199,0.855
425,0.637,0.888,0.739,-0.640,-1.441,-0.999,-0.891,0.902,-1.142,0.460,0.529,-0.620,-0.027,0.130,0.213,-1.252,-0.203,-0.843,1.312,1.424,-0.197,1.215,-0.411,-0.915,-1.506,-1.453,-0.023,1.516,0.780,-0.366,0.981,0.154,-0.524,-1.080,0.510,0.326,-1.314,-0.453,-1.171,0.408,-0.457,1.153,0.110,0.932,-0.151,0.820,-0.009,0.364,0.011,-0.571,0.634
426,0.875,0.864,0.101,1.055,0.476,-1.688,-1.337,-0.771,0.455,1.368,0.551,-0.066,0.748,0.869,0.697,0.904,1.495,0.023,0.377,-1.090,-0.661,-0.611,1.301,0.515,-2.254,-1.071,-0.658,-0.129,0.757,0.430,-0.110,1.857,0.755,-0.405,-0.817,-0.199,-1.189,0.163,-0.909,0.415,1.441,0.013,0.850,0.779,0.256,-0.269,-0.515,-0.349,1.658,0.289,0.567
427,-0.212,-0.125,-0.696,-1.599,0.015,0.567,0.146,-0.464,1.819,0.760,0.898,-0.382,-1.099,-0.939,-0.083,-0.390,2.150,0.898,1.306,0.839,-0.609,-2.807,-1.131,0.743,-1.363,-0.829,0.536,1.507,-0.813,0.121,0.443,-2.192,0.791,-0.186,0.510,1.337,-1.322,-0.660,1.882,-0.096,-0.047,1.381,-0.316,0.118,1.939,0.419,1.397,1.671,1.186,1.385,-0.671
428,-0.581,-0.063,0.453,-0.562,-0.212,0.333,-0.925,0.585,0.294,-0.393,-0.330,-0.427,0.395,0.527,-0.335,-0.821,-0.610,0.227,-0.074,0.421,-0.036,-0.630,0.959,0.789,-0.864,0.350,-0.169,-1.049,0.479,-0.366,0.011,-1.322,-0.202,0.209,0.314,-0.249,1.224,0.620,0.246,0.222,2.130,-1.054,0.313,0.120,0.197,-0.661,-0.805,-0.943,-0.701,0.444,-0.300
429,0.586,0.070,1.700,-0.163,1.008,-2.404,0.423,-0.247,-0.847,-0.301,-0.606,-0.613,1.114,1.015,0.604,0.904,0.561,-0.698,-0.493,-0.808,0.405,-0.158,-1.671,-1.730,-1.049,0.799,-1.247,-0.646,0.937,-1.206,-0.423,0.307,-0.047,-0.657,-0.621,-0.194,0.105,0.561,0.988,0.327,-0.448,-0.816,0.652,0.303,-0.294,-0.040,-0.290,-0.349,0.511,-1.728,0.225
430,0.199,0.094,0.406,-0.381,1.198,-1.767,0.714,1.595,0.688,0.242,-0.169,-0.217,0.517,0.682,0.252,0.042,-0.463,-0.164,0.277,-0.356,-0.977,-0.262,-0.930,1.545,-0.282,1.249,-1.661,-0.254,0.173,-0.366,-0.114,-0.579,-0.911,-0.250,-0.063,0.337,0.683,-0.197,1.319,0.297,-0.446,-0.153,0.717,0.193,0.062,-0.269,-0.290,0.364,-0.660,-0.826,0.171
431,0.775,0.635,0.745,0.825,-0.965,-0.863,-0.162,0.195,-2.091,-0.102,1.275,-0.800,-0.794,-0.230,0.489,-1.252,-0.483,-0.393,1.313,-0.013,0.583,-0.788,-2.300,0.225,0.745,0.122,1.779,1.689,0.147,-0.366,0.008,-1.331,0.270,0.438,0.872,1.303,-1.317,-0.412,0.201,0.558,1.518,1.858,1.481,0.957,0.774,0.534,-0.290,1.671,-0.086,-0.719,0.699
432,0.071,-0.040,1.474,-2.007,1.298,-0.558,-0.165,-0.064,3.088,-0.935,-0.641,-0.179,1.416,1.487,0.640,0.473,-0.405,0.107,-0.520,0.746,0.932,-1.863,-1.342,1.422,0.227,-1.719,0.781,-1.164,1.404,-0.366,-0.302,0.571,0.262,0.233,1.626,0.686,1.688,3.788,1.229,0.446,-0.460,-0.737,-0.619,0.341,-0.629,-0.671,0.329,0.839,-0.476,-0.934,-0.073
433,-1.431,-0.371,1.380,-0.653,0.558,0.196,1.393,0.006,0.701,0.144,-2.138,-0.146,1.789,1.414,0.212,0.904,-0.967,0.012,-1.914,0.951,0.172,0.175,2.761,0.569,0.475,1.233,0.647,-1.190,1.425,-0.897,0.063,0.877,0.625,-0.258,0.133,0.255,1.108,1.640,0.164,0.430,-0.453,-1.699,-0.022,-0.198,0.369,0.266,-0.149,0.126,-0.468,-0.707,-1.129
434,0.668,0.599,-0.270,0.172,-0.950,-0.657,-1.820,0.613,0.225,-0.737,0.790,-0.197,-0.630,-0.460,-0.094,0.042,-0.037,-0.025,0.579,0.521,-0.608,-0.414,0.743,-0.691,0.904,1.196,-0.347,0.317,-0.839,0.696,-0.289,-0.774,-0.335,0.540,1.068,0.337,-1.191,-1.296,2.184,0.334,-0.444,0.240,-0.349,-0.088,-0.542,-0.499,0.385,0.364,-0.130,-0.493,0.450
435,-1.941,-2.637,-0.866,-1.038,-0.585,-0.633,-2.339,0.095,2.075,-1.733,-0.849,-0.046,0.949,1.027,-2.430,0.904,1.302,0.404,-1.595,-0.541,1.480,0.399,0.701,1.402,0.908,0.245,1.689,0.160,-0.117,0.165,0.344,1.582,-1.621,0.920,0.872,0.258,-0.617,-0.727,-1.130,-0.391,-0.448,-0.157,0.722,-1.230,-0.100,0.304,-0.065,0.245,2.127,1.568,-2.290
436,-1.174,-2.022,-0.641,-0.482,0.490,2.531,0.516,1.242,0.483,-1.210,-0.367,-0.783,-0.062,0.430,-1.125,0.042,-2.363,-0.323,-0.106,0.295,1.148,-1.650,-0.057,-0.785,-0.262,-1.706,-0.151,-0.372,-1.197,-0.897,-0.584,-2.854,-0.864,-0.061,-0.259,0.363,0.661,-0.079,0.794,0.176,-0.456,0.289,-0.722,-1.534,-0.887,-0.843,0.160,0.443,-2.114,0.218,-1.383
437,1.540,1.596,-0.055,1.007,1.355,1.178,-0.382,0.187,0.319,0.796,2.134,-0.814,-0.917,-0.827,1.658,-1.252,-0.152,0.246,1.842,0.596,0.374,-1.619,0.273,-0.044,-1.376,-0.187,1.362,2.877,0.228,0.696,1.434,-0.903,0.055,0.009,0.314,1.328,-1.322,-0.685,-0.582,0.766,-0.460,3.153,0.696,1.235,1.761,3.415,2.354,1.671,-0.058,0.027,1.292
438,-1.143,-1.459,-0.290,-0.762,0.445,0.593,1.708,0.861,-0.810,1.077,-0.308,-0.430,0.653,0.873,-1.100,0.042,-1.467,-0.832,-0.301,-0.447,0.295,-2.708,0.857,-0.350,1.268,-0.581,-1.989,0.098,-0.487,-1.428,3.438,0.065,-0.935,-0.543,-0.621,0.357,-1.191,0.081,1.594,0.101,2.152,0.855,-0.955,-1.325,-1.075,-0.212,-0.459,0.364,-0.194,-0.352,-1.104
439,1.004,0.845,1.775,1.311,0.526,1.658,-0.459,-0.275,-0.857,1.706,0.590,-0.591,0.338,0.139,0.936,-0.821,0.389,-0.179,0.577,0.373,0.948,-1.106,1.374,0.798,0.516,1.375,-0.278,-0.027,0.943,-0.366,0.612,-1.207,0.069,0.172,-0.621,-0.641,-0.612,-0.127,0.455,0.535,1.280,0.421,0.626,0.802,0.007,-0.327,0.273,-0.289,0.294,-1.273,1.380
440,0.897,0.664,1.193,-0.146,0.482,-1.279,0.733,0.647,0.618,-0.479,0.213,-1.242,0.354,-0.192,0.838,0.042,0.003,-0.849,0.289,0.313,-1.190,0.182,0.604,0.154,-1.561,0.483,0.323,0.166,0.436,-0.897,0.061,0.231,-0.690,0.362,0.133,-0.668,0.092,0.434,-0.075,0.550,-0.453,-0.166,0.045,0.590,-0.472,-0.040,0.273,-0.943,-0.247,-1.081,1.009
441,-0.187,-0.330,-0.849,-1.523,0.130,0.278,-0.098,-0.348,0.441,0.321,0.600,-0.156,-0.261,-0.852,-0.437,0.904,0.011,0.171,0.389,-1.305,0.055,0.183,1.018,1.005,0.515,-0.902,-0.465,0.850,-0.626,0.165,0.435,0.448,0.084,0.361,0.510,0.333,0.098,-0.006,0.330,-0.008,-0.449,1.046,0.456,-0.057,0.872,0.419,0.160,0.364,-0.133,1.140,-0.987
442,0.878,0.543,1.756,0.752,-0.401,0.644,0.564,0.440,0.565,-0.475,-0.134,0.052,1.149,1.103,1.063,0.042,0.444,0.396,-0.356,1.136,0.427,-0.454,0.199,-0.172,-1.019,0.196,-0.613,-1.082,1.289,0.696,0.076,0.418,1.184,-0.294,0.314,-0.221,1.226,0.787,0.240,0.445,0.695,-1.196,0.719,0.428,-0.365,-0.040,0.273,-0.349,0.468,-1.913,1.264
443,0.526,0.507,1.019,-0.648,0.861,0.891,0.147,-0.058,0.028,-0.202,-0.457,-0.189,0.751,0.617,1.019,-0.390,0.206,0.089,-0.632,1.184,-0.587,-0.186,-1.409,1.246,-2.497,-1.056,1.894,-0.995,0.995,-0.145,0.074,-1.351,-0.263,-1.239,1.626,1.339,1.253,0.292,0.837,0.513,1.289,-0.758,0.978,0.752,0.354,-0.040,0.160,1.671,0.004,-0.747,0.477
444,0.158,0.092,0.277,1.292,-1.168,-1.741,-0.188,-1.365,-0.061,-1.191,0.543,-0.332,0.342,-0.147,-0.203,-0.821,0.711,0.229,0.626,-0.112,1.489,2.280,0.376,-0.635,-0.591,-1.095,-1.028,1.523,0.251,-1.162,0.989,-1.520,-0.476,0.273,-0.817,-0.187,0.239,-0.306,0.358,0.163,0.419,1.323,-0.397,0.093,-0.044,1.298,0.601,-0.349,0.566,0.686,0.547
445,0.561,0.110,-0.300,-0.277,-0.299,-0.784,0.001,-0.279,0.396,1.300,-0.160,-0.454,0.563,0.833,0.224,0.042,-0.301,-0.573,0.223,1.225,1.035,0.193,-0.743,1.575,-0.346,-1.078,1.179,-0.124,-0.242,0.165,-0.383,0.647,-0.693,-1.304,0.510,0.336,1.112,-1.345,0.326,0.221,-0.455,-0.144,0.366,-0.061,0.618,-0.327,-0.009,0.364,-0.463,-1.524,0.213
446,1.080,0.760,1.037,0.538,0.224,0.447,0.112,-0.785,-0.400,2.446,0.513,-0.656,0.826,0.638,1.088,0.042,0.704,0.174,0.221,0.044,-0.565,-1.117,3.807,-0.366,-0.273,0.064,-0.013,-0.266,0.696,0.165,0.078,-1.361,0.338,0.228,-0.063,0.726,-0.366,-0.127,-0.117,0.610,-0.455,-0.091,-0.294,0.895,-0.700,-0.040,0.273,0.839,0.513,-0.432,1.271
447,0.698,0.812,0.169,0.125,0.458,0.849,0.544,0.030,-0.505,0.150,0.580,0.057,0.781,0.511,0.866,0.904,0.238,0.411,0.388,0.556,1.431,0.200,-2.078,-0.319,0.651,1.174,-0.503,-0.387,0.792,0.961,0.077,1.053,0.834,0.209,0.133,-0.170,-1.311,0.210,-0.330,0.383,-0.455,-0.174,0.307,0.902,0.257,-0.040,-0.290,-0.349,0.407,0.230,0.812
448,1.108,1.203,0.526,-0.067,-1.371,-0.102,-0.535,1.179,1.720,0.225,1.065,-0.595,1.360,1.432,0.969,1.335,0.933,-0.877,1.224,1.259,0.053,-0.762,0.685,1.014,0.025,-0.933,1.835,1.551,1.187,0.696,0.155,0.514,0.813,0.742,1.626,0.693,-1.190,-0.421,-0.145,0.517,-0.456,1.367,0.110,1.204,-0.259,0.075,0.048,0.839,0.877,-0.118,1.616
449,0.616,0.612,0.997,0.733,2.231,0.655,-0.825,-1.117,-0.188,-1.255,0.249,-1.438,0.457,0.390,0.555,0.042,0.245,-1.350,0.669,0.109,-1.554,0.509,-2.096,-0.257,1.541,-2.400,-0.177,0.438,0.383,0.165,0.063,-0.543,-0.467,0.102,-0.259,0.346,-1.311,-0.402,0.747,0.371,-0.454,0.340,0.178,0.622,0.279,-0.040,-0.009,0.364,0.097,-0.558,0.810
450,-0.738,0.456,0.459,-1.051,-0.659,1.189,-0.684,-1.209,0.298,0.995,-1.039,-0.601,1.123,1.035,0.206,0.904,0.415,-0.704,-0.930,1.161,1.161,0.865,-3.609,-0.818,-0.984,0.017,1.173,-1.263,0.521,-0.897,0.343,1.017,-0.155,-0.109,0.872,0.236,0.254,0.632,-0.218,0.257,-0.455,-1.203,1.194,0.424,0.393,0.304,-0.121,0.245,0.128,-0.654,-0.023
451,0.446,-0.008,1.397,1.304,-1.269,-0.898,0.383,-0.180,-0.121,-0.823,-0.527,-1.019,0.963,0.781,0.603,0.904,0.399,-1.689,-0.562,0.167,0.645,0.187,-1.032,-1.064,-1.222,-1.521,-0.911,-0.429,0.888,0.430,0.084,1.046,-0.023,-1.338,-0.817,-0.102,-0.483,0.677,0.465,0.278,-0.442,-0.570,-0.251,0.209,-0.595,-0.040,-0.234,0.229,0.496,-1.869,0.423
452,0.270,0.282,-0.047,0.244,0.919,0.804,-1.227,-0.023,-1.723,0.003,0.664,-0.349,-0.009,0.224,0.198,0.042,-0.188,0.671,0.840,-1.325,-0.171,1.101,0.635,-1.098,-0.636,0.091,0.101,-0.162,-0.582,-0.897,-0.571,-2.668,0.707,1.060,-0.063,0.365,0.665,-0.352,0.591,0.399,-0.453,0.129,0.268,-0.204,-0.390,-0.843,0.160,0.364,-0.524,0.355,0.431
453,-0.129,-0.512,-0.831,0.308,-0.793,-0.136,-0.804,-0.136,-0.007,1.092,0.226,-0.229,-1.359,-0.540,-0.577,0.042,-2.159,-0.088,0.301,-0.667,0.116,-0.153,-0.182,0.750,-1.180,0.098,-0.230,1.787,-1.874,0.696,-0.555,0.066,-0.393,1.036,1.068,0.326,-1.191,-1.622,0.721,0.171,-0.454,1.830,-0.518,-1.990,-0.424,-0.212,-2.315,0.364,-1.367,-0.273,-0.578
454,1.075,1.052,0.358,0.974,-1.380,0.705,0.340,0.305,0.535,0.484,1.192,-0.924,-0.465,-0.461,0.871,-1.252,0.309,-1.209,1.088,1.562,1.811,0.408,-0.080,-0.140,-0.612,-0.714,-0.858,1.735,0.269,-0.366,0.066,-2.261,-0.325,-1.280,0.510,0.710,-1.321,-0.909,0.900,0.409,0.338,1.669,1.215,1.047,0.201,-2.334,-1.452,0.839,0.310,-0.616,0.891
455,0.923,0.697,1.446,-0.071,-0.578,0.158,1.049,-0.880,-1.116,-0.097,0.089,-0.703,0.690,0.474,1.016,0.042,0.421,0.323,-0.303,-0.128,-0.958,-0.669,-0.316,0.925,0.961,0.738,-0.113,0.134,0.615,-0.366,-0.383,-1.361,-0.792,0.440,-0.063,0.719,0.391,-0.155,0.481,0.588,1.280,-0.426,-0.215,0.925,-0.891,-0.327,-0.290,0.839,0.234,-1.261,1.049
456,1.165,0.917,2.041,1.862,1.601,1.623,-1.874,0.435,-0.273,0.191,0.476,-1.748,0.978,0.138,1.245,0.042,0.579,-2.053,0.676,1.039,0.683,-0.152,-0.216,-0.119,1.126,-0.919,-0.064,0.120,0.983,-0.366,0.537,0.145,0.427,-0.171,-0.259,0.709,-0.612,0.306,0.130,0.523,-0.456,0.322,-0.199,1.066,0.375,0.534,0.835,0.839,0.521,-1.554,1.427
457,0.747,0.496,0.815,0.276,0.793,-0.670,-0.561,0.784,0.132,-2.343,0.386,-1.014,-0.379,-0.320,0.430,-1.252,0.511,-1.355,0.451,1.296,-1.251,-0.915,-1.777,-0.384,-0.215,1.149,0.761,0.493,0.428,0.430,0.071,-0.701,0.415,-0.551,0.661,-0.306,0.354,-0.257,0.023,0.286,0.739,0.500,0.333,0.811,-0.581,-2.334,-2.399,-0.349,0.631,-0.935,0.326
458,-1.654,-2.214,-1.467,-1.312,0.822,-0.510,0.937,-0.553,0.617,0.750,-0.522,0.155,-1.637,-2.216,-2.431,-0.821,0.757,0.524,-1.049,-1.334,0.567,-1.089,0.273,-1.053,-2.010,0.743,-0.872,-0.466,-1.892,-1.428,-1.111,0.876,-1.211,1.060,-0.063,-4.329,1.655,-1.117,0.603,-0.472,-0.438,-0.237,0.440,-1.528,0.089,-0.783,-1.190,-5.695,0.358,1.828,-1.694
459,1.135,0.867,0.882,1.883,-1.390,-0.008,0.880,-0.586,-0.557,-0.016,0.985,-1.657,0.599,0.664,1.167,-0.390,0.190,-1.979,1.420,-0.058,0.552,1.569,-0.230,-1.195,0.727,0.023,-0.651,1.613,0.827,0.165,-1.302,-0.993,0.642,1.172,0.133,-0.711,-1.322,-0.494,-1.062,0.653,-0.459,1.798,1.021,1.120,0.100,-2.071,-1.574,-0.017,1.166,-0.272,0.981
460,0.314,0.187,0.388,-1.512,0.901,-1.076,2.778,-0.182,-0.236,0.932,0.162,-0.293,0.706,0.974,0.229,0.473,0.773,-0.271,0.387,0.388,-1.362,0.280,-0.896,0.104,-0.365,1.600,0.424,0.566,0.203,-0.366,-0.305,0.522,0.496,0.094,1.445,0.694,-0.014,0.432,0.862,0.268,-0.446,0.431,0.619,0.470,0.277,-0.499,0.498,0.839,0.637,0.094,0.461
461,0.120,-0.024,1.094,0.882,-1.199,-1.081,1.906,-0.564,-0.579,0.279,-0.429,-1.129,0.714,0.691,-0.013,0.904,0.444,-2.243,-0.356,-0.021,-0.128,-0.129,-1.531,0.680,-0.049,0.522,-0.743,-1.036,0.357,0.430,0.067,1.115,-0.795,-1.346,-0.621,-0.240,0.826,0.718,-0.135,0.218,-0.443,-1.009,0.319,0.504,-0.611,-0.040,-0.271,-0.349,0.323,-1.629,0.225
462,-0.704,0.246,-0.078,-0.131,0.005,-0.515,-0.053,-1.398,0.692,-1.495,-0.630,0.004,0.466,0.195,-0.016,0.904,-0.121,0.019,-0.310,0.277,1.667,-1.146,-0.614,0.224,-0.400,0.322,-0.125,-1.542,0.334,0.961,0.254,0.823,0.113,0.315,0.157,-0.179,0.657,0.394,-0.401,0.275,-0.450,-1.475,0.195,0.381,0.646,0.304,0.273,-0.230,-0.207,-0.112,0.539
463,0.563,0.080,0.439,-0.935,0.054,1.026,-0.331,0.326,-0.229,-1.058,-0.065,-0.600,0.275,0.345,0.138,0.904,-0.145,-0.635,0.279,0.327,-1.192,0.955,1.709,1.503,-0.565,-1.387,-0.027,0.401,-0.447,0.430,-0.380,1.770,-0.034,-0.177,0.510,0.331,-0.437,-0.076,0.054,0.206,0.400,0.086,-0.337,-0.060,0.578,-0.785,0.104,0.364,-0.477,-1.557,0.065
464,0.355,0.126,-0.252,0.017,-1.500,0.244,0.072,0.867,-2.072,0.127,0.642,-0.086,-0.488,-0.324,0.052,-1.252,0.038,0.282,0.214,-0.289,-0.561,-0.244,0.044,-0.035,-0.399,1.030,-0.051,-0.473,0.514,0.430,0.524,-0.227,-0.158,0.338,0.872,-0.197,-1.315,-0.297,-0.403,0.215,0.740,-0.082,1.286,0.448,0.268,0.534,-2.315,-0.646,0.427,0.880,-0.100
465,1.072,1.306,1.745,1.891,0.180,-1.077,-1.437,0.170,2.095,0.928,0.779,-0.595,0.982,0.652,1.374,-0.390,0.659,-0.101,0.509,-0.221,0.462,-1.564,1.459,-0.903,1.245,-0.606,-0.854,0.255,1.495,0.165,-0.207,-1.610,0.112,1.405,0.133,0.348,-1.316,-0.007,-0.018,0.683,0.736,0.523,1.637,1.257,0.358,-0.384,-0.290,0.364,0.656,-0.729,1.489
466,0.270,0.217,0.182,0.865,-1.509,-1.424,0.043,0.084,-0.282,-0.222,0.091,-0.521,0.066,-0.452,0.074,-0.821,-0.978,-0.041,0.589,-0.122,0.577,0.323,-0.039,-1.206,-0.255,1.390,-0.759,0.601,-0.517,-1.339,0.525,-0.771,-0.245,0.305,-0.817,-2.627,-0.613,-0.455,-0.679,0.182,0.498,0.764,0.753,0.039,0.418,0.534,-0.290,-1.814,-1.144,0.178,0.006
467,0.840,0.599,0.521,0.228,0.866,-0.887,-1.025,-0.449,0.769,0.771,0.318,-1.472,-0.523,-0.419,0.593,-1.252,-0.934,-1.426,0.414,0.683,0.211,0.804,-0.635,-1.441,-0.754,-0.853,-1.026,-0.058,-0.036,0.430,0.528,0.079,0.155,-0.555,0.510,-1.150,0.093,-0.206,-0.960,0.364,0.501,0.333,1.658,0.393,1.058,0.032,-0.290,-1.933,-0.777,-1.081,0.286
468,-0.395,0.112,0.699,0.346,-0.282,-0.075,-0.082,0.300,-1.161,-0.470,-1.197,-0.608,0.225,-0.455,0.451,0.042,0.075,0.455,-1.032,-0.354,-0.768,-0.868,1.174,0.655,-0.577,-0.757,-0.625,-0.916,0.276,-0.808,-0.382,-0.036,0.625,0.353,-0.063,-0.640,0.800,1.197,0.610,0.321,0.732,-1.126,-0.087,0.230,0.609,0.562,0.638,-0.507,-0.653,-0.153,0.282
469,0.515,0.776,-0.309,-1.132,-1.659,-0.379,0.096,-0.854,0.024,0.821,1.158,-0.456,-0.708,0.112,0.351,0.042,-1.606,-0.023,0.647,0.044,-0.056,-0.630,-0.189,1.173,0.196,-0.385,0.979,0.900,-0.225,0.165,-0.562,-1.124,-0.448,-0.668,1.445,0.342,-0.482,-0.641,0.177,0.421,-0.453,1.245,-0.201,0.141,-0.164,-0.843,0.160,0.364,-1.862,0.609,-0.361
470,0.536,0.629,0.737,1.968,-1.050,0.704,1.560,-1.742,0.253,0.101,0.641,-0.536,0.694,0.654,0.843,-0.390,1.227,0.157,0.720,-1.027,1.814,-0.186,-0.785,0.733,0.556,-0.580,-0.923,0.715,0.766,0.430,-0.207,-1.347,-0.311,1.792,0.133,0.330,-1.317,-0.632,-0.657,0.270,0.731,0.737,1.055,1.248,-0.440,-0.384,-0.290,0.364,0.639,0.786,1.118
471,0.110,-0.326,-0.358,-0.969,-0.979,-0.292,0.684,-0.746,0.543,1.350,0.139,-1.318,-1.265,-2.572,-0.314,-2.114,-1.067,-1.786,0.180,0.406,0.190,-0.277,-0.393,1.616,0.595,1.534,-0.927,0.789,-1.338,-1.162,-0.571,-0.224,-1.360,-0.470,-0.621,-0.174,0.095,-0.915,-4.053,0.067,-2.434,1.032,0.742,-0.742,1.288,0.419,0.779,-0.349,-0.491,-0.091,-0.499
472,0.475,0.410,0.499,0.882,0.965,0.736,-0.311,-0.003,0.216,-0.438,0.186,-0.936,-0.002,-0.621,0.311,-0.821,-0.207,-1.188,0.084,0.881,1.086,1.243,0.471,0.721,0.479,-0.673,-0.825,-1.245,-0.386,-1.428,0.977,0.373,0.210,-0.334,-0.621,0.270,0.941,0.178,-1.189,0.372,-0.456,-0.527,0.027,0.279,-0.094,0.916,0.385,-0.982,-0.765,-0.811,0.584
473,-1.617,-0.253,0.917,1.275,1.158,-0.846,-0.589,-0.277,-0.725,0.793,-2.145,-0.362,0.013,-0.136,0.783,-1.252,3.732,0.481,-2.091,-0.146,0.656,0.570,-1.821,-0.511,0.984,1.698,0.369,-1.085,0.013,2.001,-0.579,-3.036,0.550,0.435,-0.063,0.362,1.511,0.466,1.450,0.596,2.151,-2.058,0.175,0.471,0.618,-0.843,0.160,0.364,5.238,-0.219,0.981
474,-0.768,-1.111,-1.246,-2.518,-1.152,0.338,0.336,1.226,1.477,-0.481,-0.407,-0.251,-2.920,-2.769,-2.132,-1.252,-1.503,-0.388,-0.260,-0.840,-0.165,-1.555,1.926,-2.846,1.392,1.507,-1.078,1.332,-3.343,-1.914,-0.822,1.134,1.459,0.570,-0.063,-2.527,1.231,-1.242,-0.061,-0.339,-0.439,1.232,0.017,-2.402,0.425,-0.843,-0.552,-3.556,-1.177,0.784,-1.930
475,1.025,0.918,0.727,-0.033,-1.493,1.001,-0.528,-1.427,-0.732,-0.479,0.467,0.071,0.219,0.180,0.991,0.042,0.557,0.422,0.383,0.965,1.916,-0.768,0.551,0.454,-0.816,0.606,0.850,0.390,0.360,0.696,0.421,0.138,0.540,-0.866,0.314,0.329,0.800,0.351,0.646,0.501,1.484,0.588,0.002,0.914,-0.386,-0.843,-1.077,0.364,0.586,-0.857,0.968
476,0.280,0.300,0.055,-0.251,-0.716,1.009,-2.242,-2.345,-0.599,2.242,0.368,-0.523,1.093,1.129,0.192,0.904,1.072,-0.691,0.242,1.552,-0.339,-1.115,-1.922,0.636,-1.216,-0.921,1.325,-0.526,-0.040,-0.853,0.340,0.845,0.092,-0.437,0.872,0.245,0.256,-0.180,-0.362,0.233,-0.448,-0.524,-0.758,-0.361,-0.761,0.304,-0.065,0.245,0.276,-0.224,0.806
477,0.918,0.918,1.504,0.558,0.272,-0.258,1.734,0.962,-0.193,-0.466,0.468,-1.689,1.062,0.837,0.824,0.042,0.154,-1.874,1.042,1.339,-0.895,-0.616,1.599,1.602,-2.483,-0.796,-0.589,0.304,0.815,-0.897,0.064,-0.234,0.117,-0.987,-0.194,0.358,-1.313,0.057,0.077,0.456,-0.456,0.483,0.187,0.867,0.957,-0.040,0.273,0.364,0.055,-1.606,1.271
478,-0.809,0.176,0.554,-1.570,1.724,1.278,0.218,0.004,2.476,-1.185,-1.467,-0.361,0.557,0.342,0.361,0.904,0.053,-0.276,-1.610,-0.404,-0.892,0.366,0.424,0.168,-2.063,-0.483,0.042,-1.230,0.351,0.696,-0.287,1.460,-0.252,0.269,1.445,0.335,1.381,1.196,-0.512,0.334,0.397,-1.379,0.429,0.039,0.740,-1.129,0.385,0.364,0.211,-0.595,-0.806
